PLAYER_ID,PLAYER_NAME
1630639,A.J. Lawson
1631260,AJ Green
1642358,AJ Johnson
203932,Aaron Gordon
1628988,Aaron Holiday
1630174,Aaron Nesmith
1630598,Aaron Wiggins
1641745,Adam Flagler
1641766,Adama Sanogo
1641737,Adem Bona
1642349,Ajay Mitchell
201143,Al Horford
202692,Alec Burks
1627936,Alex Caruso
1642505,Alex Ducas
203458,Alex Len
1642024,Alex Reese
1642259,Alexandre Sarr
1631214,Alondes Williams
1630578,Alperen Sengun
1641708,Amen Thompson
1629599,Amir Coffey
203083,Andre Drummond
1641748,Andre Jackson Jr.
1629614,Andrew Nembhard
203952,Andrew Wiggins
1629014,Anfernee Simons
1641710,Anthony Black
203076,Anthony Davis
1630162,Anthony Edwards
1630264,Anthony Gill
1641817,Anton Watson
1641810,Antonio Reeves
1630574,Ariel Hukporti
1642422,Armel Traore
1641709,Ausar Thompson
1630559,Austin Reaves
1630245,Ayo Dosunmu
1628389,Bam Adebayo
1631248,Baylor Scheierman
1641767,Ben Sheppard
1627732,Ben Simmons
1631097,Bennedict Mathurin
1641731,Bilal Coulibaly
202687,Bismack Biyombo
1631104,Blake Wesley
1626171,Bobby Portis
1641752,Bobi Klintman
203992,Bogdan Bogdanović
1629626,Bol Bol
1630538,Bones Hyland
203078,Bradley Beal
1642382,Branden Carlson
1641764,Brandin Podziemski
1630527,Brandon Boston Jr.
1629634,Brandon Clarke
1627742,Brandon Ingram
1641706,Brandon Miller
1630314,Brandon Williams
1630296,Braxton Key
1641729,Brice Sensabaugh
1642355,Bronny James
201572,Brook Lopez
1628971,Bruce Brown
1628981,Bruno Fernando
1631121,Bryce McGowens
1627741,Buddy Hield
203468,CJ McCollum
1630595,Cade Cunningham
1631216,Caleb Houstan
1628997,Caleb Martin
1642353,Cam Christie
1629629,Cam Reddish
1642285,Cam Spencer
1630560,Cam Thomas
1641715,Cam Whitmore
1629661,Cameron Johnson
1626166,Cameron Payne
1627747,Caris LeVert
1642267,Carlton Carrington
1641717,Cason Wallace
1629646,Charles Bassey
1631096,Chet Holmgren
1628449,Chris Boucher
1630537,Chris Duarte
1641753,Chris Livingston
101108,Chris Paul
1631128,Christian Braun
1631132,Christian Koloko
1629643,Chuma Okeke
203991,Clint Capela
1629632,Coby White
1628998,Cody Martin
1642262,Cody Williams
1641732,Colby Jones
1630175,Cole Anthony
1631306,Cole Swider
1630658,Colin Castleton
1631221,Collin Gillespie
1629012,Collin Sexton
1630557,Corey Kispert
202709,Cory Joseph
1641854,Craig Porter Jr.
1642385,Cui Yongxi
1626156,D'Angelo Russell
1630618,D.J. Carton
1629610,DaQuan Jeffries
1631342,Daeqwon Plowden
1630227,Daishen Nix
1630625,Dalano Banton
1631207,Dalen Terry
1642261,Dalton Knecht
203081,Damian Lillard
1641878,Damion Baugh
1627814,Damion Lee
1629655,Daniel Gafford
1628464,Daniel Theis
1642450,Daniss Jenkins
203957,Danté Exum
203967,Dario Šarić
1641727,Dariq Whitehead
1629636,Darius Garland
1630561,David Duke Jr.
1631223,David Roddy
1630558,Davion Mitchell
1630549,Day'Ron Sharpe
1628368,De'Aaron Fox
1629631,De'Andre Hunter
1629001,De'Anthony Melton
201599,DeAndre Jordan
201942,DeMar DeRozan
1629731,Dean Wade
1629028,Deandre Ayton
1627749,Dejounte Murray
1626153,Delon Wright
1630166,Deni Avdija
203471,Dennis Schröder
1641726,Dereck Lively II
1627884,Derrick Jones Jr.
1628401,Derrick White
1630217,Desmond Bane
1626164,Devin Booker
1642269,Devin Carter
1630170,Devin Vassell
1628415,Dillon Brooks
1641794,Dillon Jones
1627734,Domantas Sabonis
1631230,Dominick Barlow
1642270,Donovan Clingan
1628378,Donovan Mitchell
1628978,Donte DiVincenzo
1627827,Dorian Finney-Smith
203926,Doug McDermott
203110,Draymond Green
1629234,Drew Eubanks
1641809,Drew Peterson
1631166,Drew Timme
1630696,Dru Smith
1629130,Duncan Robinson
1641871,Duop Reath
203939,Dwight Powell
1630700,Dyson Daniels
1630604,E.J. Liddell
203901,Elfrid Payton
1641989,Elijah Harkless
1641801,Emanuel Miller
1641734,Emoni Bates
1642402,Enrique Freeman
201569,Eric Gordon
1630596,Evan Mobley
1630532,Franz Wagner
1627832,Fred VanVleet
1641713,GG Jackson
1629216,Gabe Vincent
202066,Garrett Temple
1629726,Garrison Mathews
203914,Gary Harris
1627780,Gary Payton II
1629018,Gary Trent Jr.
1627777,Georges Niang
203507,Giannis Antetokounmpo
1629048,Goga Bitadze
1641711,Gradey Dick
1629684,Grant Williams
1628960,Grayson Allen
1627824,Guerschon Yabusele
1630611,Gui Santos
203084,Harrison Barnes
1631127,Harrison Ingram
1629312,Haywood Highsmith
1630529,Herbert Jones
1641816,Hunter Tyson
1630193,Immanuel Quickley
1642403,Isaac Jones
1630171,Isaac Okoro
1642268,Isaiah Collier
1642384,Isaiah Crawford
1628392,Isaiah Hartenstein
1630543,Isaiah Jackson
1630198,Isaiah Joe
1630600,Isaiah Mobley
1641815,Isaiah Stevens
1630191,Isaiah Stewart
1631209,Isaiah Wong
1627826,Ivica Zubac
1631120,JD Davison
1630550,JT Thor
1629630,Ja Morant
1642266,Ja'Kobe Walter
1631095,Jabari Smith Jr.
1631133,Jabari Walker
1629098,Jack McVeigh
1642050,Jackson Rowe
1631210,Jacob Toppin
1630702,Jaden Hardy
1631093,Jaden Ivey
1630183,Jaden McDaniels
1630531,Jaden Springer
203109,Jae Crowder
1630256,Jae'Sean Tate
1626143,Jahlil Okafor
1642443,Jahmir Young
1631170,Jaime Jaquez Jr.
1631222,Jake LaRavia
1627751,Jakob Pöltl
1641779,Jalen Bridges
1628973,Jalen Brunson
1631105,Jalen Duren
1630224,Jalen Green
1641720,Jalen Hood-Schifino
1630552,Jalen Johnson
1629667,Jalen McDaniels
1629618,Jalen Pickett
1630188,Jalen Smith
1630591,Jalen Suggs
1631114,Jalen Williams
1630592,Jalen Wilson
1631288,Jamal Cain
1627750,Jamal Murray
1642347,Jamal Shead
1631123,Jamaree Bouyea
201935,James Harden
201949,James Johnson
1630164,James Wiseman
1642419,Jamison Battle
1641716,Jarace Walker
1630215,Jared Butler
1642272,Jared McCain
1631197,Jared Rhoden
1628991,Jaren Jackson Jr.
1629020,Jarred Vanderbilt
1628386,Jarrett Allen
1629750,Javonte Green
1629637,Jaxson Hayes
1630643,Jay Huff
1627759,Jaylen Brown
1641740,Jaylen Clark
1641798,Jaylen Martin
1629669,Jaylen Nowell
1631301,Jaylen Sims
1642377,Jaylen Wells
1631119,Jaylin Williams
1642281,Jaylon Tyson
1628369,Jayson Tatum
1641789,Jazian Gortman
1630288,Jeff Dowtin Jr.
201145,Jeff Green
203924,Jerami Grant
1630526,Jeremiah Robinson-Earl
1631110,Jeremy Sochan
1630579,Jericho Sims
1642399,Jesse Edwards
1641724,Jett Howard
1628975,Jevon Carter
202710,Jimmy Butler
1629111,Jock Landale
204060,Joe Ingles
203954,Joel Embiid
1628381,John Collins
1629723,John Konchar
1631098,Johnny Davis
1642277,Johnny Furphy
1630548,Johnny Juzang
202685,Jonas Valančiūnas
1628371,Jonathan Isaac
1630228,Jonathan Kuminga
1642367,Jonathan Mogbo
203903,Jordan Clarkson
1630692,Jordan Goodwin
1641722,Jordan Hawkins
1629162,Jordan McLaughlin
1641757,Jordan Miller
1629673,Jordan Poole
1641775,Jordan Walsh
1630631,Jose Alvarado
1630528,Josh Christopher
1630581,Josh Giddey
1630182,Josh Green
1628404,Josh Hart
1631169,Josh Minott
1629006,Josh Okogie
1626196,Josh Richardson
201950,Jrue Holiday
1630577,Julian Champagnie
1641763,Julian Phillips
1631124,Julian Strawther
203944,Julius Randle
1630551,Justin Champagnie
1642348,Justin Edwards
1631303,Justin Minaya
203994,Jusuf Nurkić
1630231,KJ Martin
1642354,KJ Simpson
1630539,Kai Jones
1626157,Karl-Anthony Towns
1631255,Karlo Matkovic
202695,Kawhi Leonard
1630811,Keaton Wallace
1631099,Keegan Murray
1631232,Keion Brooks Jr.
1642276,Kel'el Ware
1629640,Keldon Johnson
203482,Kelly Olynyk
1626162,Kelly Oubre Jr.
1629026,Kenrich Williams
203484,Kentavious Caldwell-Pope
1631165,Keon Ellis
1630553,Keon Johnson
1642352,Keshad Johnson
1630556,Kessler Edwards
201142,Kevin Durant
1628989,Kevin Huerter
1628995,Kevin Knox II
201567,Kevin Love
1641755,Kevin McCullar Jr.
1629645,Kevin Porter Jr.
1626172,Kevon Looney
1641718,Keyonte George
203114,Khris Middleton
1630165,Killian Hayes
202691,Klay Thompson
1641738,Kobe Brown
1641723,Kobe Bufkin
1627739,Kris Dunn
1631200,Kris Murray
204001,Kristaps Porziņģis
203937,Kyle Anderson
1642271,Kyle Filipowski
1628398,Kyle Kuzma
200768,Kyle Lowry
1630283,Kylor Kelley
202681,Kyrie Irving
1642273,Kyshawn George
1630163,LaMelo Ball
1630205,Lamar Stevens
1629013,Landry Shamet
1626204,Larry Nance Jr.
1628374,Lauri Markkanen
2544,LeBron James
1631159,Leonard Miller
1631311,Lester Quinones
1641857,Liam Robbins
1630322,Lindy Waters III
1629022,Lonnie Walker IV
1628366,Lonzo Ball
1629652,Luguentz Dort
1629029,Luka Dončić
1630568,Luka Garza
1628379,Luke Kennard
1628436,Luke Kornet
1631247,Luke Travers
1630644,Mac McClung
1630201,Malachi Flynn
1631103,Malaki Branham
1627763,Malcolm Brogdon
1642502,Malevy Leons
1627736,Malik Beasley
1628370,Malik Monk
1630699,MarJon Beauchamp
1630542,Marcus Bagley
1630585,Marcus Garrett
1631204,Marcus Sasser
203935,Marcus Smart
1631109,Mark Williams
1628365,Markelle Fultz
202693,Markieff Morris
1628963,Marvin Bagley III
1630222,Mason Jones
203486,Mason Plumlee
1641824,Matas Buzelis
1629680,Matisse Thybulle
1630346,Matt Ryan
1631108,Max Christie
1629622,Max Strus
1628467,Maxi Kleber
1641721,Maxwell Lewis
1630695,Micah Potter
1629008,Michael Porter Jr.
1628969,Mikal Bridges
201144,Mike Conley
1628970,Miles Bridges
1630540,Miles McBride
1641936,Miles Norris
1629011,Mitchell Robinson
1628964,Mo Bamba
1628420,Monté Morris
1629021,Moritz Wagner
1629650,Moses Brown
1630541,Moses Moody
1631243,Mouhamed Gueye
1631217,Moussa Diabate
1626167,Myles Turner
1642368,N'Faly Dante
1641772,Nae'Qwan Tomlin
1630230,Naji Marshall
1631466,Nate Williams
1629675,Naz Reid
1629674,Neemias Queta
1629651,Nic Claxton
1630208,Nick Richards
1641733,Nick Smith Jr.
1629638,Nickeil Alexander-Walker
201587,Nicolas Batum
203999,Nikola Jokić
1631107,Nikola Jović
202696,Nikola Vučević
1641730,Noah Clowney
1626181,Norman Powell
1628384,OG Anunoby
1630167,Obi Toppin
1630534,Ochai Agbaji
1641765,Olivier-Maxence Prosper
1630168,Onyeka Okongwu
1631115,Orlando Robinson
1631131,Oscar Tshiebwe
1629052,Oshae Brissett
1642345,Oso Ighodaro
1631172,Ousmane Dieng
200782,P.J. Tucker
1629023,P.J. Washington
1628408,PJ Dozier
1641790,PJ Hall
1642359,Pacôme Dadiet
1631094,Paolo Banchero
1627783,Pascal Siakam
1626192,Pat Connaughton
1630311,Pat Spencer
1631116,Patrick Baldwin Jr.
1630172,Patrick Williams
201988,Patty Mills
202331,Paul George
1630194,Paul Reed
1630202,Payton Pritchard
1641796,Pelle Larsson
1631250,Pete Nance
1631212,Peyton Watson
1630762,Phillip Wheeler
1630173,Precious Achiuwa
1629656,Quentin Grimes
1631245,Quenton Jackson
1642439,Quincy Olivari
1642366,Quinten Post
1629628,RJ Barrett
1642484,RayJ Dennis
1641712,Rayan Rupert
1641736,Reece Beekman
1642263,Reed Sheppard
202704,Reggie Jackson
1626158,Richaun Holmes
1641741,Ricky Council IV
1642434,Riley Minix
1642265,Rob Dillingham
1629057,Robert Williams III
1631199,Ron Harper Jr.
1641842,Ronald Holland II
1626220,Royce O'Neale
203497,Rudy Gobert
1629060,Rui Hachimura
201566,Russell Westbrook
1642346,Ryan Dunn
1631157,Ryan Rollins
1630573,Sam Hauser
1630241,Sam Merrill
1630572,Sandro Mamukelashvili
1630583,Santi Aldama
1630703,Scoot Henderson
1630567,Scottie Barnes
1630590,Scotty Pippen Jr.
203552,Seth Curry
1631101,Shaedon Sharpe
1628983,Shai Gilgeous-Alexander
1629003,Shake Milton
1631321,Sidy Cissoko
1631323,Simone Fontecchio
1627746,Skal Labissiere
203915,Spencer Dinwiddie
1642461,Spencer Jones
1630649,Stanley Umude
201939,Stephen Curry
1642264,Stephon Castle
203500,Steven Adams
1629004,Svi Mykhailiuk
204456,T.J. McConnell
201959,Taj Gibson
1629659,Talen Horton-Tucker
1631106,Tari Eason
1627752,Taurean Prince
1641707,Taylor Hendricks
1631386,Taze Moore
1629611,Terance Mann
1629056,Terence Davis
1630545,Terrence Shannon Jr.
1626179,Terry Rozier
1630678,Terry Taylor
1628418,Thomas Bryant
1642275,Tidjane Salaün
203501,Tim Hardaway Jr.
202699,Tobias Harris
1642449,Tolu Smith
1628396,Tony Bradley
1628470,Torrey Craig
1641787,Tosan Evbuomwan
1641739,Toumani Camara
1629027,Trae Young
1631218,Trayce Jackson-Davis
1630200,Tre Jones
1630544,Tre Mann
1630570,Trendon Watford
1642280,Trentyn Flowers
1630243,Trevelin Queen
1641725,Trey Alexander
1641998,Trey Jemison III
1626168,Trey Lyles
1630530,Trey Murphy III
202684,Tristan Thompson
1641774,Tristan Vukcevic
1641783,Tristan da Silva
1641803,Tristen Newton
1629660,Ty Jerome
1631102,TyTy Washington Jr.
1629639,Tyler Herro
1642278,Tyler Kolek
1641890,Tyler Smith
1630169,Tyrese Haliburton
1631213,Tyrese Martin
1630178,Tyrese Maxey
1630623,Tyson Etienne
1626145,Tyus Jones
1642279,Ulrich Chomche
203995,Vasilije Micić
1641705,Victor Wembanyama
1631246,Vince Williams Jr.
1628427,Vlatko Čančar
1630249,Vít Krejčí
1631117,Walker Kessler
1628976,Wendell Carter Jr.
1631111,Wendell Moore Jr.
1630214,Xavier Tillman
1642530,Yuki Kawamura
1641879,Yuri Collins
1642274,Yves Missi
1642258,Zaccharie Risacher
1628380,Zach Collins
1641744,Zach Edey
203897,Zach LaVine
1630192,Zeke Nnaji
1630533,Ziaire Williams
1629627,Zion Williamson
1642389,Zyon Pullin
